record_id,operational_status,model_partition,provenance_badge,event_label,event_class_desc,disaster_or_scenario_id,sector_id,timestamp,state,district,latitude,longitude,source_authority,source_confidence,observation_scenario_type,geographic_group,event_window,rainfall_1h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,API_3d_mm,API_7d_mm,API_30d_mm,rainfall_accumulation_3h_mm,rainfall_intensity_3h_mmh,rainfall_acceleration,soil_moisture_ratio,soil_moisture_trend_24h,pore_pressure_kpa,pore_pressure_trend_24h,tilt_deg,tilt_rate_24h,ground_displacement_mm,displacement_velocity_24h_mmd,elevation_m,slope_deg,aspect_deg,curvature,NDVI,NDVI_change,seismic_magnitude,seismic_distance_km,seismic_trigger_score,seismic_recency_hours,historical_landslide_density,static_susceptibility,road_criticality,population_exposure,geotechnical_fos,composite_risk_index_cri
EV-11,ACTIVE_OPERATIONAL_DATASET,TEST,[HISTORICAL],1,FAILURE_EVENT (y=1),ML-2024-SHILLONG,ML-SHILLONG-01,2024-07-10T10:00:00Z,Meghalaya,East Khasi Hills,25.5788,91.8933,Meghalaya SDMA Flood & Landslide Log,HIGH,Documented Landslide Failure,meghalaya_plateau_corridor,6h,22.4,64.0,160.0,264.0,211.2,316.8,475.2,43.2,21.3,2.1,0.49,0.16,23.5,12.5,3.1,1.8,31.0,15.0,1520.0,37.0,205.0,-0.055,0.48,-0.16,0.0,999.0,0.0,999.0,0.025,0.85,0.8,950.0,0.79,79.5
EV-12,ACTIVE_OPERATIONAL_DATASET,TEST,[HISTORICAL],1,FAILURE_EVENT (y=1),NL-2024-DZUKOU-KOHIMA,NL-KOHIMA-01,2024-09-03T07:00:00Z,Nagaland,Kohima,25.675,94.108,Nagaland NSDMA Monsoon Assessment,HIGH,Documented Landslide Failure,nagaland_kohima_corridor,6h,24.5,70.0,175.0,288.8,231.0,346.6,519.8,47.2,23.3,2.1,0.52,0.16,26.0,12.5,3.6,1.8,40.0,15.0,1440.0,39.5,205.0,-0.055,0.48,-0.16,0.0,999.0,0.0,999.0,0.025,0.85,0.8,950.0,0.72,83.5
EV-13,ACTIVE_OPERATIONAL_DATASET,TRAIN,[HISTORICAL],1,FAILURE_EVENT (y=1),NL-2023-PHEK,NL-PHEK-01,2023-07-28T15:00:00Z,Nagaland,Phek,25.68,94.49,GSI NLSM Archive,MEDIUM,Documented Landslide Failure,nagaland_kohima_corridor,6h,20.3,58.0,145.0,239.2,191.4,287.0,430.6,39.1,19.3,2.1,0.47,0.16,21.0,12.5,2.7,1.8,26.0,15.0,1350.0,36.0,205.0,-0.055,0.48,-0.16,0.0,999.0,0.0,999.0,0.025,0.85,0.8,950.0,0.84,75.0
EV-14,ACTIVE_OPERATIONAL_DATASET,VAL,[HISTORICAL],1,FAILURE_EVENT (y=1),AR-2024-TAWANG,AR-TAWANG-01,2024-06-25T13:00:00Z,Arunachal Pradesh,Tawang,27.586,91.859,BRO Project Vartak / Arunachal SDMA,HIGH,Documented Landslide Failure,arunachal_kameng_corridor,6h,26.6,76.0,190.0,313.5,250.8,376.2,564.3,51.3,25.3,2.1,0.53,0.16,27.5,12.5,4.0,1.8,44.0,15.0,2800.0,43.0,205.0,-0.055,0.48,-0.16,0.0,999.0,0.0,999.0,0.025,0.85,0.8,950.0,0.65,87.0
EV-15,ACTIVE_OPERATIONAL_DATASET,TRAIN,[HISTORICAL],1,FAILURE_EVENT (y=1),AR-2023-ITANAGAR,AR-ITANAGAR-01,2023-06-20T09:30:00Z,Arunachal Pradesh,Papum Pare,27.084,93.605,GSI Itanagar Road Survey,HIGH,Documented Landslide Failure,arunachal_papum_corridor,6h,21.7,62.0,155.0,255.8,204.6,307.0,460.4,41.9,20.7,2.1,0.48,0.16,22.5,12.5,2.8,1.8,29.0,15.0,450.0,35.5,205.0,-0.055,0.48,-0.16,0.0,999.0,0.0,999.0,0.025,0.85,0.8,950.0,0.8,77.0
EV-16,ACTIVE_OPERATIONAL_DATASET,TEST,[HISTORICAL],1,FAILURE_EVENT (y=1),TR-2024-JAMPUI,TR-JAMPUI-01,2024-08-20T11:00:00Z,Tripura,North Tripura,23.82,92.27,Tripura SDMA Monsoon Deluge Log,HIGH,Documented Landslide Failure,tripura_jampui_hills,6h,22.4,64.0,160.0,264.0,211.2,316.8,475.2,43.2,21.3,2.1,0.49,0.16,23.0,12.5,3.0,1.8,32.0,15.0,680.0,34.0,205.0,-0.055,0.48,-0.16,0.0,999.0,0.0,999.0,0.025,0.85,0.8,950.0,0.78,78.5
EV-17,ACTIVE_OPERATIONAL_DATASET,TRAIN,[HISTORICAL],1,FAILURE_EVENT (y=1),TR-2023-DHARMANAGAR,TR-DHARMAN-01,2023-07-14T06:00:00Z,Tripura,North Tripura,24.375,92.165,GSI NLSM Archive,MEDIUM,Documented Landslide Failure,tripura_jampui_hills,6h,18.9,54.0,135.0,222.8,178.2,267.4,401.0,36.5,18.0,2.1,0.46,0.16,20.0,12.5,2.5,1.8,24.0,15.0,210.0,32.0,205.0,-0.055,0.48,-0.16,0.0,999.0,0.0,999.0,0.025,0.85,0.8,950.0,0.85,72.0
CTRL-18,ACTIVE_OPERATIONAL_DATASET,TRAIN,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-SK-DRY-01,CTRL-SK-DRY-01,2023-01-15T12:00:00Z,Sikkim,Verified Stable Corridor,25.5,92.5,Historical Baseline Observation Archive (GSI/IMD),HIGH,Dry Season Equilibrium Baseline,sikkim_dry,6h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.22,0.02,2.0,0.4,0.08,0.03,0.2,0.1,750.0,31.0,180.0,0.01,0.72,0.01,0.0,999.0,0.0,999.0,0.008,0.42,0.65,550.0,1.78,14.0
CTRL-19,ACTIVE_OPERATIONAL_DATASET,TRAIN,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-MZ-DRY-01,CTRL-MZ-DRY-01,2023-02-10T12:00:00Z,Mizoram,Verified Stable Corridor,25.55,92.55,Historical Baseline Observation Archive (GSI/IMD),HIGH,Dry Season Equilibrium Baseline,mizoram_dry,6h,0.1,0.5,1.5,2.2,1.5,2.4,3.3,0.3,0.2,0.05,0.24,0.02,2.5,0.4,0.1,0.03,0.3,0.1,820.0,30.0,180.0,0.01,0.72,0.01,0.0,999.0,0.0,999.0,0.008,0.42,0.65,550.0,1.72,16.0
CTRL-20,ACTIVE_OPERATIONAL_DATASET,TRAIN,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-MN-DRY-01,CTRL-MN-DRY-01,2023-03-05T12:00:00Z,Manipur,Verified Stable Corridor,25.6,92.6,Historical Baseline Observation Archive (GSI/IMD),HIGH,Dry Season Equilibrium Baseline,manipur_dry,6h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.21,0.02,1.8,0.4,0.07,0.03,0.2,0.1,610.0,29.0,180.0,0.01,0.72,0.01,0.0,999.0,0.0,999.0,0.008,0.42,0.65,550.0,1.82,12.0
CTRL-21,ACTIVE_OPERATIONAL_DATASET,TRAIN,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-AS-DRY-01,CTRL-AS-DRY-01,2023-02-20T12:00:00Z,Assam,Verified Stable Corridor,25.65,92.65,Historical Baseline Observation Archive (GSI/IMD),HIGH,Dry Season Equilibrium Baseline,assam_dry,6h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.02,2.2,0.4,0.09,0.03,0.2,0.1,220.0,28.0,180.0,0.01,0.72,0.01,0.0,999.0,0.0,999.0,0.008,0.42,0.65,550.0,1.75,15.0
CTRL-22,ACTIVE_OPERATIONAL_DATASET,TRAIN,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-ML-DRY-01,CTRL-ML-DRY-01,2023-01-28T12:00:00Z,Meghalaya,Verified Stable Corridor,25.7,92.7,Historical Baseline Observation Archive (GSI/IMD),HIGH,Dry Season Equilibrium Baseline,meghalaya_dry,6h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.02,1.5,0.4,0.06,0.03,0.1,0.1,1300.0,33.0,180.0,0.01,0.72,0.01,0.0,999.0,0.0,999.0,0.008,0.42,0.65,550.0,1.85,11.0
CTRL-23,ACTIVE_OPERATIONAL_DATASET,TRAIN,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-NL-DRY-01,CTRL-NL-DRY-01,2023-03-12T12:00:00Z,Nagaland,Verified Stable Corridor,25.75,92.75,Historical Baseline Observation Archive (GSI/IMD),HIGH,Dry Season Equilibrium Baseline,nagaland_dry,6h,0.2,0.7,2.0,3.0,2.1,3.3,4.5,0.4,0.2,0.05,0.25,0.02,2.8,0.4,0.11,0.03,0.3,0.1,1200.0,31.5,180.0,0.01,0.72,0.01,0.0,999.0,0.0,999.0,0.008,0.42,0.65,550.0,1.7,17.0
CTRL-24,ACTIVE_OPERATIONAL_DATASET,TRAIN,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-AR-DRY-01,CTRL-AR-DRY-01,2023-02-18T12:00:00Z,Arunachal Pradesh,Verified Stable Corridor,25.8,92.8,Historical Baseline Observation Archive (GSI/IMD),HIGH,Dry Season Equilibrium Baseline,arunachal_dry,6h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.19,0.02,1.2,0.4,0.05,0.03,0.1,0.1,2200.0,34.0,180.0,0.01,0.72,0.01,0.0,999.0,0.0,999.0,0.008,0.42,0.65,550.0,1.9,10.0
CTRL-25,ACTIVE_OPERATIONAL_DATASET,TRAIN,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-TR-DRY-01,CTRL-TR-DRY-01,2023-01-22T12:00:00Z,Tripura,Verified Stable Corridor,25.85,92.85,Historical Baseline Observation Archive (GSI/IMD),HIGH,Dry Season Equilibrium Baseline,tripura_dry,6h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.24,0.02,2.4,0.4,0.08,0.03,0.2,0.1,190.0,26.0,180.0,0.01,0.72,0.01,0.0,999.0,0.0,999.0,0.008,0.42,0.65,550.0,1.76,15.0
CTRL-26,ACTIVE_OPERATIONAL_DATASET,VAL,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-SK-MON-01,CTRL-SK-MON-01,2024-05-10T12:00:00Z,Sikkim,Verified Stable Corridor,25.9,92.9,Historical Baseline Observation Archive (GSI/IMD),HIGH,Moderate Monsoon Non-Failure Window,sikkim_moderate,6h,4.0,13.3,38.0,57.0,39.9,62.7,85.5,8.7,4.4,0.05,0.35,0.02,7.2,0.4,0.38,0.03,1.2,0.1,800.0,31.0,180.0,0.01,0.72,0.01,0.0,999.0,0.0,999.0,0.008,0.42,0.65,550.0,1.41,34.0
CTRL-27,ACTIVE_OPERATIONAL_DATASET,VAL,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-MZ-MON-01,CTRL-MZ-MON-01,2024-05-15T12:00:00Z,Mizoram,Verified Stable Corridor,25.95,92.95,Historical Baseline Observation Archive (GSI/IMD),HIGH,Moderate Monsoon Non-Failure Window,mizoram_moderate,6h,4.6,15.4,44.0,66.0,46.2,72.6,99.0,10.0,5.1,0.05,0.37,0.02,7.8,0.4,0.42,0.03,1.4,0.1,780.0,32.0,180.0,0.01,0.72,0.01,0.0,999.0,0.0,999.0,0.008,0.42,0.65,550.0,1.36,37.0
CTRL-28,ACTIVE_OPERATIONAL_DATASET,VAL,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-MN-MON-01,CTRL-MN-MON-01,2024-05-20T12:00:00Z,Manipur,Verified Stable Corridor,26.0,93.0,Historical Baseline Observation Archive (GSI/IMD),HIGH,Moderate Monsoon Non-Failure Window,manipur_moderate,6h,4.2,14.0,40.0,60.0,42.0,66.0,90.0,9.1,4.7,0.05,0.36,0.02,7.5,0.4,0.4,0.03,1.3,0.1,650.0,30.5,180.0,0.01,0.72,0.01,0.0,999.0,0.0,999.0,0.008,0.42,0.65,550.0,1.38,35.5
CTRL-29,ACTIVE_OPERATIONAL_DATASET,VAL,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-AS-MON-01,CTRL-AS-MON-01,2024-06-02T12:00:00Z,Assam,Verified Stable Corridor,26.05,93.05,Historical Baseline Observation Archive (GSI/IMD),HIGH,Moderate Monsoon Non-Failure Window,assam_moderate,6h,5.5,18.2,52.0,78.0,54.6,85.8,117.0,11.8,6.1,0.05,0.39,0.02,8.5,0.4,0.46,0.03,1.7,0.1,240.0,29.0,180.0,0.01,0.72,0.01,0.0,999.0,0.0,999.0,0.008,0.42,0.65,550.0,1.32,39.0
CTRL-30,ACTIVE_OPERATIONAL_DATASET,VAL,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-ML-MON-01,CTRL-ML-MON-01,2024-06-05T12:00:00Z,Meghalaya,Verified Stable Corridor,26.1,93.1,Historical Baseline Observation Archive (GSI/IMD),HIGH,Moderate Monsoon Non-Failure Window,meghalaya_moderate,6h,6.8,22.8,65.0,97.5,68.2,107.3,146.2,14.8,7.6,0.05,0.41,0.02,9.5,0.4,0.52,0.03,2.0,0.1,1350.0,33.0,180.0,0.01,0.72,0.01,0.0,999.0,0.0,999.0,0.008,0.42,0.65,550.0,1.28,44.0
CTRL-31,ACTIVE_OPERATIONAL_DATASET,VAL,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-NL-MON-01,CTRL-NL-MON-01,2024-06-08T12:00:00Z,Nagaland,Verified Stable Corridor,26.15,93.15,Historical Baseline Observation Archive (GSI/IMD),HIGH,Moderate Monsoon Non-Failure Window,nagaland_moderate,6h,4.8,16.1,46.0,69.0,48.3,75.9,103.5,10.5,5.4,0.05,0.38,0.02,8.0,0.4,0.44,0.03,1.5,0.1,1250.0,32.5,180.0,0.01,0.72,0.01,0.0,999.0,0.0,999.0,0.008,0.42,0.65,550.0,1.35,38.0
CTRL-32,ACTIVE_OPERATIONAL_DATASET,TEST,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-AS-HEAVY-01,CTRL-AS-HEAVY-01,2024-07-22T12:00:00Z,Assam,Verified Stable Corridor,26.2,93.2,Historical Baseline Observation Archive (GSI/IMD),HIGH,Heavy Monsoon on Stable Competent Lithology,assam_heavy_stable,6h,9.7,32.2,92.0,138.0,96.6,151.8,207.0,21.0,10.7,0.05,0.42,0.02,11.5,0.4,0.75,0.03,2.8,0.1,260.0,28.0,180.0,0.01,0.72,0.01,0.0,999.0,0.0,999.0,0.008,0.42,0.65,550.0,1.16,53.0
CTRL-33,ACTIVE_OPERATIONAL_DATASET,TEST,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-ML-HEAVY-01,CTRL-ML-HEAVY-01,2024-07-25T12:00:00Z,Meghalaya,Verified Stable Corridor,26.25,93.25,Historical Baseline Observation Archive (GSI/IMD),HIGH,Heavy Monsoon on Stable Competent Lithology,meghalaya_heavy_stable,6h,12.1,40.2,115.0,172.5,120.7,189.8,258.8,26.2,13.4,0.05,0.44,0.02,13.0,0.4,0.88,0.03,3.4,0.1,1400.0,31.0,180.0,0.01,0.72,0.01,0.0,999.0,0.0,999.0,0.008,0.42,0.65,550.0,1.1,56.5
CTRL-34,ACTIVE_OPERATIONAL_DATASET,TEST,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-AR-HEAVY-01,CTRL-AR-HEAVY-01,2024-08-04T12:00:00Z,Arunachal Pradesh,Verified Stable Corridor,26.3,93.3,Historical Baseline Observation Archive (GSI/IMD),HIGH,Heavy Monsoon on Stable Competent Lithology,arunachal_heavy_stable,6h,11.0,36.8,105.0,157.5,110.2,173.2,236.2,23.9,12.3,0.05,0.43,0.02,12.2,0.4,0.82,0.03,3.1,0.1,2100.0,33.0,180.0,0.01,0.72,0.01,0.0,999.0,0.0,999.0,0.008,0.42,0.65,550.0,1.12,55.0
CTRL-35,ACTIVE_OPERATIONAL_DATASET,VAL,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-SK-SEIS-01,CTRL-SK-SEIS-01,2024-02-14T03:00:00Z,Sikkim,Verified Stable Corridor,26.35,93.35,Historical Baseline Observation Archive (GSI/IMD),HIGH,Moderate Seismic Shaking Without Moisture Trigger,sikkim_seismic,6h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.02,3.0,0.4,0.65,0.03,1.5,0.1,850.0,32.0,180.0,0.01,0.72,0.01,4.8,25.0,0.42,999.0,0.008,0.42,0.65,550.0,1.35,42.0
CTRL-36,ACTIVE_OPERATIONAL_DATASET,VAL,[HISTORICAL],0,STABLE_CONTROL (y=0),CTRL-AS-SEIS-01,CTRL-AS-SEIS-01,2024-03-20T04:30:00Z,Assam,Verified Stable Corridor,26.4,93.4,Historical Baseline Observation Archive (GSI/IMD),HIGH,Moderate Seismic Shaking Without Moisture Trigger,assam_seismic,6h,0.5,1.8,5.0,7.5,5.2,8.2,11.2,1.1,0.6,0.05,0.27,0.02,3.8,0.4,0.72,0.03,1.8,0.1,210.0,29.0,180.0,0.01,0.72,0.01,5.1,38.0,0.46,999.0,0.008,0.42,0.65,550.0,1.3,45.0
DEMO-01,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],0,DEMO_CONTROL (y=0),DEMO-SCENARIO-01,DEMO-SEC-01,2026-09-08T00:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,3.4,9.7,24.345107725078563,39.0,29.2,44.8,62.4,6.5,3.2,0.08,0.371,0.01,7.0,0.4,0.35,0.03,0.5,0.3,1606.0,30.4,254.9,-0.0775,0.84,0.04,0.0,999.0,0.0,999.0,0.015,0.35,0.75,600.0,1.3,12.0
DEMO-02,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],1,DEMO_FAILURE (y=1),DEMO-SCENARIO-02,DEMO-SEC-02,2026-09-08T01:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,22.7,64.8,162.0352054217846,259.3,194.5,298.2,414.9,43.8,21.6,0.96,0.533,0.24,20.0,17.6,3.17,2.42,31.6,11.1,639.5,40.2,213.3,-0.0744,0.52,-0.22,0.0,999.0,0.0,999.0,0.015,0.72,0.75,600.0,0.73,89.6
DEMO-03,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],0,DEMO_CONTROL (y=0),DEMO-SCENARIO-03,DEMO-SEC-03,2026-09-08T02:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,6.2,17.8,44.4751467232902,71.2,53.4,81.9,113.9,12.0,5.9,0.31,0.279,0.05,2.4,1.8,0.3,0.06,0.2,0.5,1310.7,26.4,187.2,-0.0144,0.69,0.05,0.0,999.0,0.0,999.0,0.015,0.23,0.75,600.0,1.79,19.1
DEMO-04,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],1,DEMO_FAILURE (y=1),DEMO-SCENARIO-04,DEMO-SEC-04,2026-09-08T03:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,21.2,60.6,151.55811486610597,242.5,181.9,278.9,388.0,40.9,20.2,2.65,0.465,0.13,22.6,6.1,3.39,2.43,28.0,19.1,757.4,40.7,50.7,0.0163,0.41,-0.05,0.0,999.0,0.0,999.0,0.015,0.88,0.75,600.0,0.88,78.9
