UI FIELD,API ENDPOINT,BACKEND FUNCTION,SOURCE,SOURCE URL,DATASET / FILE,LIVE?,PREDEFINED?,HISTORICAL?,SIMULATED?,DERIVED?,CACHE?,TIMESTAMP,FRESHNESS,PROVENANCE,USED BY PAHAD?,USED IN CRI?,USED IN MAP?
ev-soil,/api/ml/latest-risk,backend.risk_engine.run_risk_fusion_pipeline,Geological Survey of India (GSI) Lithological Map,https://bhukosh.gsi.gov.in/,backend/risk_engine.py (Daling phyllite colluvium),NO,YES,YES,NO,NO,NO,GSI lithological catalog,Static geological unit,[HISTORICAL],YES,YES,NO
card-prov-label,/api/ml/latest-risk & /api/pahad/predict-event,templates/index.html updatePahadPredictionUI,PARVAT NETRA Strict Provenance Enforcement Engine,local_provenance_contract,services/data_provenance.py,NO,YES,NO,NO,YES,NO,Inference time,Realtime rendering,[SIMULATED: DEPLOYMENT NOT VERIFIED],YES,NO,NO
card-qual-label,/api/pahad/predict-event,templates/index.html updatePahadPredictionUI,PAHAD Model Metadata Registry,http://127.0.0.1:8080/api/pahad/event-model/status,models/pahad_event_model.metadata.json,NO,YES,YES,NO,NO,YES,Model registration timestamp,Static model card,[HISTORICAL / METADATA],YES,NO,NO
pahad-plain-explanation,/api/pahad/explanation/<sectorId>,engine.pahad_explanation_engine.generate_plain_language_explanation,PAHAD Deterministic Multimodal Explainability Engine,http://127.0.0.1:8080/api/pahad/explanation/SK-NH10-KM48,engine/pahad_explanation_engine.py,YES,NO,NO,NO,YES,NO,Generated on demand,Immediate generation,[DERIVED / EXPLAINABILITY],YES,NO,NO
card-action,/api/defense/bro-swastik-sop,app.get_bro_swastik_sop_endpoint -> services.bro_sop_service,Border Roads Organisation (BRO Project Swastik 758/764 BRTF),http://127.0.0.1:8080/api/defense/bro-swastik-sop,services/bro_sop_service.py,NO,YES,NO,NO,YES,NO,Operational SOP doctrine,Immediate lookup,[BRO DOCTRINE],NO,NO,NO
btn-auth (Authorize Protocol),/api/decisions/authorize,app.authorize_decision -> engine.operational_state_machine,EOC Incident Command (Disaster Management Act 2005 Sections 30 & 34),http://127.0.0.1:8080/api/decisions/authorize,engine/operational_state_machine.py & SQLite 'pahad_observations.db',YES,NO,NO,NO,NO,NO,Authority session authorization timestamp,Immediate transactional commit,[AUTHORITY AUDIT],NO,NO,NO
btn-issue-alert (Public Alert Dispatch),/api/alerts/broadcast-trigger,app.broadcast_trigger -> services.public_warning_service,NDMA Sachet CAP v1.2 Gateway & C-DOT CBS Interface,http://127.0.0.1:8080/api/alerts/broadcast-trigger,services/public_warning_service.py,NO,YES,NO,YES,YES,NO,Dispatch event time,Immediate generation,[DRY_RUN / DEMO_TEST_ONLY],NO,NO,NO
btn-3d-dem (Inspect 3D Elevation Model),/api/geospatial/terrain,app.api_geospatial_terrain -> services.dem_service,CartoDEM 30m Point Cloud Grid (ISRO Bhuvan),http://127.0.0.1:8080/api/geospatial/terrain,services/dem_service.py,NO,YES,NO,NO,YES,YES,Static elevation grid,Static terrain mesh,[MODELLED],YES,NO,YES
btn-arm-siren (Tactical Siren Dispatch),/api/authority/siren-access & /api/alerts/dispatch-siren,app.dispatch_siren -> services.siren_controller.SirenController,Civil Defense Acoustic Siren Relay (GW-01 Likhu Veer),http://127.0.0.1:8080/api/alerts/dispatch-siren,services/siren_controller.py (DRY_RUN_EMULATOR),NO,YES,NO,YES,NO,NO,Trigger time,Immediate,[DRY_RUN],NO,NO,NO
teestaRiverLayer,/api/hydrology/teesta-status,app.get_teesta_status -> services.cwc_sync,Central Water Commission (CWC) & South Lhonak Hydrodynamics,http://127.0.0.1:8080/api/hydrology/teesta-status,PostgreSQL table 'teesta_waterways',NO,YES,YES,YES,YES,YES,Hourly gauge stage sync,< 60 minutes,[SIMULATED / GLOF BENCHMARK],YES,YES,YES
cutsLayer,/api/terrain/anthropogenic-cuts,app.get_anthropogenic_cuts,NH-10 Road Widening Field Bench Surveys (BRO/NHIDCL),http://127.0.0.1:8080/api/terrain/anthropogenic-cuts,PostgreSQL table 'anthropogenic_cuts',NO,YES,NO,NO,YES,YES,2024 Field Survey Baseline,Static survey points,[MODELLED / SURVEY],YES,YES,YES
detoursLayer,/api/routing/evacuation-plan,app.get_evacuation_plan_endpoint -> services.routing_service,PostGIS 3.6 pgRouting Graph & IRC SP:84 Mountain Code,http://127.0.0.1:8080/api/routing/evacuation-plan,PostgreSQL table 'bypass_corridors',YES,YES,NO,NO,YES,NO,Realtime route calculation,Dynamic on request,[LIVE / POSTGIS GRAPH],NO,NO,YES
habitationsLayer,/api/humanitarian/isolation-matrix,app.get_isolation_matrix_endpoint -> services.humanitarian_service,Census of India & Sikkim State Disaster Management Authority,http://127.0.0.1:8080/api/humanitarian/isolation-matrix,PostgreSQL table 'critical_habitations',NO,YES,YES,YES,YES,YES,Operational triage matrix,Daily triage updates,[MODELLED / HUMANITARIAN],YES,YES,YES
reportsLayerGroup,/api/reports/clustered,app.get_clustered_reports_endpoint -> backend.cv_crack_classifier,Citizen Crowdsource & BRO Patrol Geo-Tagged Inspections,http://127.0.0.1:8080/api/reports/clustered,PostgreSQL table 'field_reports',YES,NO,NO,NO,YES,NO,Realtime report ingestion & DBSCAN clustering,Immediate upon report submission,[CROWDSOURCE / FIELD VERIFIED],YES,YES,YES
insarLayer,/api/insar/points & /api/pahad/insar-deformation,app.get_insar_points -> services.satellite_service,Copernicus Sentinel-1 / NISAR L-band SAR,https://dataspace.copernicus.eu/,services/insar_service.py,NO,NO,YES,NO,YES,YES,12-day orbital SAR cycle,Monthly update,[HISTORICAL/PROCESSED],YES,YES,YES
scarsLayer,/api/satellite/detected-scars & /api/geospatial/historical-landslides,app.get_detected_scars -> services.landslide_inventory_service,Geological Survey of India (GSI) National Landslide Susceptibility Mapping,https://bhukosh.gsi.gov.in/,data/manifests/canonical_event_inventory.json,NO,YES,YES,NO,NO,YES,17 verified historical NER events (2022-2024),Archival ground truth,[HISTORICAL],YES,NO,YES
nerBoundsLayer,/static/data/ner_state_boundaries.geojson,Static JSON delivery via Nginx / Flask,Survey of India National Geospatial Vector Database,http://127.0.0.1:8080/static/data/ner_state_boundaries.geojson,static/data/ner_state_boundaries.geojson,NO,YES,NO,NO,NO,YES,Static administrative boundaries,Static boundary asset,[PREDEFINED / GIS],NO,NO,YES
sectorMarkers,/api/pahad/critical-sectors & /api/ml/latest-risk,app.pahad_critical_sectors -> engine.corridor_registry,PARVAT NETRA Priority Mountain Corridor Registry,http://127.0.0.1:8080/api/pahad/critical-sectors,engine/corridor_registry.py,YES,YES,NO,NO,YES,NO,Realtime risk coloring,< 15 minutes,[LIVE/HYBRID],YES,YES,YES
hp-edge-nodes,/api/edge/nodes & /api/edge/status,backend.edge.routes.api_edge_nodes -> services.edge_gateway,Sub-GHz LoRa Mesh Hardware Rig (ESP32 / SX1262 Nodes),http://127.0.0.1:8080/api/edge/nodes,backend/edge/routes.py & services/device_gateway.py,NO,YES,NO,YES,YES,NO,Realtime mesh heartbeat ping (30s),< 30 seconds,[BENCH SIMULATION],NO,NO,YES
hp-edge-siren,/api/edge/siren/status & /api/edge/status,backend.edge.routes.api_edge_siren_status -> services.siren_controller,Civil Defense Acoustic Siren Controller (GW-01 Likhu Veer),http://127.0.0.1:8080/api/edge/siren/status,services/siren_controller.py (DRY_RUN_EMULATOR),NO,YES,NO,YES,NO,NO,Realtime controller state,Immediate,[DRY_RUN / SIMULATED],NO,NO,NO
regional-hazard-sparkline,/api/pahad/realtime-cri & /api/pahad/regional-overview,backend.realtime_routes.get_realtime_cri -> services.realtime_cri_service,PAHAD Real-Time Multi-Corridor Ingestion & Evaluation Service,http://127.0.0.1:8080/api/pahad/realtime-cri,data/realtime/realtime_cri_dataset.csv & data/realtime/realtime_cri_dataset.json,YES,NO,NO,NO,YES,YES,15-minute regional evaluation cycle,< 15 minutes,[LIVE/HYBRID],YES,YES,YES
highest-risk-sector-banner,/api/pahad/highest-risk-corridor,app.api_pahad_highest_risk_corridor -> engine.corridor_registry,PAHAD Regional Risk Ranking Algorithm,http://127.0.0.1:8080/api/pahad/highest-risk-corridor,data/realtime/realtime_cri_dataset.json,YES,NO,NO,NO,YES,YES,Dynamic sort across all sectors,< 15 minutes,[DERIVED],YES,YES,YES
seismic-feed-drawer,/api/seismic/latest & /api/seismic/recent,app.api_seismic_latest -> services.seismic_service,USGS Earthquake Hazards Program & NCS (National Center for Seismology),https://earthquake.usgs.gov/fdsnws/event/1/query,data/cache/seismic/latest_events.json,YES,NO,NO,NO,YES,YES,Realtime seismic event detection (< 15 min polling),< 15 minutes,[LIVE],YES,YES,YES
sitrep-modal-content,/api/ai/sitrep,app.ai_sitrep -> services.ai_sitrep.AISitRepService.generate_sitrep,OmniRoute Local AI Gateway (LLM) / Deterministic Geotechnical Fallback,http://localhost:20128/v1/chat/completions,services/ai_sitrep.py & services/omniroute_agent_bridge.py,YES,NO,NO,NO,YES,YES,Generated on demand,< 5 minutes,[LIVE / DETERMINISTIC FALLBACK],NO,NO,NO
pahad-assistant-chat,/api/pahad/assistant/chat,backend.assistant_routes.chat -> services.pahad_voice_assistant,PAHAD Voice Assistant Service (DMA 2005 Safety Guarded),http://127.0.0.1:8080/api/pahad/assistant/chat,services/pahad_voice_assistant.py & engine/pahad_explanation_engine.py,YES,NO,NO,NO,YES,NO,Realtime user query time,Immediate,[LIVE GROUNDED],NO,NO,YES
modal-cap-preview,/api/alerts/broadcast-trigger,app.broadcast_trigger -> services.public_warning_service,NDMA Sachet Common Alerting Protocol (CAP v1.2 XML with ne-IN Gap-Fill),http://127.0.0.1:8080/api/alerts/broadcast-trigger,services/public_warning_service.py & services/cap_service.py,NO,YES,NO,YES,YES,NO,On dual-key authorization,Immediate generation,[DRY_RUN / DEMO_TEST_ONLY],NO,NO,NO
form-citizen-report,/api/reports/submit,app.submit_report -> backend.cv_crack_classifier.classify_surface_distress,Citizen Mobile / Web Form + Automated Computer Vision Classifier,http://127.0.0.1:8080/api/reports/submit,PostgreSQL table 'field_reports',YES,NO,NO,NO,YES,NO,Client submission timestamp,Immediate insertion,[LIVE / CROWDSOURCE],YES,YES,YES
modal-data-truth-matrix,/ (Embedded static structure in templates/index.html),templates/index.html openDataTruthModal(),PARVAT NETRA Data Truth & Provenance Protocol,http://127.0.0.1:8080/,data/manifests/phase14_final_submission_manifest.json,NO,YES,NO,NO,NO,NO,Phase 14 frozen specification,Static matrix (7 statuses),[PROVENANCE GOVERNANCE],NO,NO,NO
modal-scientific-expl,/ (Embedded modal in templates/index.html),templates/index.html openScientificExplModal(topic),Geotechnical Physics & Extreme Value Engineering Equations,http://127.0.0.1:8080/,engine/pahad_geotech.py & engine/pahad_corroboration.py,NO,YES,NO,NO,NO,NO,Phase 12A / 14 verified formulations,Static scientific documentation,[SCIENTIFIC STANDARD],NO,NO,NO
pahad-pipeline-ribbon,/ (Embedded layout in templates/index.html),templates/index.html #pahad-pipeline-ribbon,8-Stage Decision Chain Architecture,http://127.0.0.1:8080/,docs/PHASE14_TOP1_POLISH_REPORT.md,NO,YES,NO,NO,NO,NO,Phase 14 architectural specification,Static ribbon layout,[ARCHITECTURE],NO,NO,NO
card-why-parvat-netra,/ (Embedded card in templates/index.html),templates/index.html #card-why-parvat-netra,National Top-1 Differentiator Architecture Specification,http://127.0.0.1:8080/,docs/PHASE14_EVALUATOR_CLARITY_REPORT.md,NO,YES,NO,NO,NO,NO,Phase 14 frozen differentiator card,Static card layout,[DIFFERENTIATOR],NO,NO,NO
card-current-limitations,/ (Embedded card in templates/index.html),templates/index.html #card-current-limitations,Engineering Scope & Limitations Disclosure,http://127.0.0.1:8080/,data/manifests/phase14_final_submission_manifest.json,NO,YES,NO,NO,NO,NO,Phase 14 engineering disclosure,Static card layout,[LIMITATION DISCLOSURE],NO,NO,NO
notification-center-drawer,/api/notifications/status & /api/alerts/active,backend.notifications_routes.get_notifications_status,PARVAT NETRA Unified Multi-Channel Notification Broker,http://127.0.0.1:8080/api/notifications/status,services/unified_notification_service.py,YES,NO,NO,NO,YES,YES,Realtime notification dispatch ledger,Immediate,[AUDIT LEDGER],NO,NO,NO
fleet-machinery-panel,/api/fleet/bro-machinery,app.get_bro_machinery -> services.bro_sop_service,"Border Roads Organisation Heavy Equipment Ledger (CAT 320D, Loaders)",http://127.0.0.1:8080/api/fleet/bro-machinery,services/bro_sop_service.py (Project Swastik staging),NO,YES,NO,YES,NO,NO,Operational fleet readiness schedule,Hourly status sync,[SIMULATED / BRO FLEET],NO,NO,YES
weather-radar-overlay,/api/ingest/imd-rainfall & /api/geospatial/satellite/status,services.imd_service.IMDConnector,IMD Doppler Weather Radar (DWR) X-band Reflectivity,https://mausam.imd.gov.in/dwr_img/,services/imd_service.py,NO,NO,NO,NO,NO,NO,10-minute volume scan,Requires Institutional Credentials,[AUTH_REQUIRED],NO,NO,YES
optical-satellite-preview,/api/geospatial/satellite/footprints,services.eo_catalog_service.EOCatalogService.query_footprints,ISRO NRSC Bhoonidhi Optical Satellite Catalog (Resourcesat / Cartosat),https://bhoonidhi.nrsc.gov.in/,services/eo_catalog_service.py,NO,NO,YES,NO,NO,YES,5-day nadir revisit,Weekly scene catalog,[HISTORICAL/CATALOG],NO,NO,YES
vegetation-loss-index,/api/geospatial/vegetation,app.api_geospatial_vegetation -> services.vegetation_service,Sentinel-2 Multi-Spectral Instrument (MSI) NDVI Delta,https://dataspace.copernicus.eu/,services/vegetation_service.py,NO,NO,YES,NO,YES,YES,5-day twin-satellite revisit,Bi-weekly NDVI differencing,[HISTORICAL/DERIVED],YES,NO,YES
