ROW_INDEX,UI_FIELD,API_ENDPOINT,SOURCE_NAME,DATA_CLASS,LIVE_CONTRIBUTION,USED_IN_CRI,USED_IN_PAHAD,USED_IN_MAP,USER_VISIBLE,RUNTIME_ORIGIN_VERDICT
11,ev-soil,/api/ml/latest-risk,Geological Survey of India (GSI) Lithological Map,HISTORICAL,ZERO,YES,YES,NO,YES,"HISTORICAL: GSI 1:50,000 national lithological mapping dataset defining cohesion and friction angles."
12,card-prov-label,/api/ml/latest-risk & /api/pahad/predict-event,PARVAT NETRA Strict Provenance Enforcement Engine,DERIVED,ZERO,NO,YES,NO,YES,DERIVED: Runtime provenance auditor evaluating active telemetry feeds and generating honest audit badges.
13,card-qual-label,/api/pahad/predict-event,PAHAD Model Metadata Registry,STATIC_PREDEFINED,ZERO,NO,YES,NO,YES,"STATIC_PREDEFINED: Read from models/pahad_event_model.metadata.json (TRAINED_LIMITED_DATA, N=17)."
14,pahad-plain-explanation,/api/pahad/explanation/<sectorId>,PAHAD Deterministic Multimodal Explainability Engine,DERIVED,PARTIAL,NO,YES,NO,YES,DERIVED: Deterministic rule-based explainability synthesizer (engine/pahad_explanation_engine.py).
15,card-action,/api/defense/bro-swastik-sop,Border Roads Organisation (BRO Project Swastik 758/764 BRTF),STATIC_PREDEFINED,ZERO,NO,NO,NO,YES,STATIC_PREDEFINED: Military civil engineering doctrine lookup matrix in services/bro_sop_service.py.
16,btn-auth (Authorize Protocol),/api/decisions/authorize,EOC Incident Command (Disaster Management Act 2005 Sections 30 & 34),DERIVED,ZERO,NO,NO,NO,YES,DERIVED: Interactive state machine writing authorization audit records to local SQLite database.
17,btn-issue-alert (Public Alert Dispatch),/api/alerts/broadcast-trigger,NDMA Sachet CAP v1.2 Gateway & C-DOT CBS Interface,SIMULATED,ZERO,NO,NO,NO,YES,SIMULATED: Emergency alert generator in DRY_RUN mode (services/public_warning_service.py).
18,btn-3d-dem (Inspect 3D Elevation Model),/api/geospatial/terrain,CartoDEM 30m Point Cloud Grid (ISRO Bhuvan),STATIC_PREDEFINED,ZERO,NO,YES,YES,YES,STATIC_PREDEFINED: Local elevation point grid array loaded into Three.js client-side renderer.
19,btn-arm-siren (Tactical Siren Dispatch),/api/authority/siren-access & /api/alerts/dispatch-siren,Civil Defense Acoustic Siren Relay (GW-01 Likhu Veer),SIMULATED,ZERO,NO,NO,NO,YES,SIMULATED: Hardware relay emulator in safety dry-run mode (services/siren_controller.py).
20,teestaRiverLayer,/api/hydrology/teesta-status,Central Water Commission (CWC) & South Lhonak Hydrodynamics,SIMULATED,ZERO,YES,YES,YES,YES,"SIMULATED: October 2023 GLOF benchmark scenario calibrated to Teesta River (218.4m, 2480 cumecs)."
21,cutsLayer,/api/terrain/anthropogenic-cuts,NH-10 Road Widening Field Bench Surveys (BRO/NHIDCL),HISTORICAL,ZERO,YES,YES,YES,YES,HISTORICAL: 2024 field survey cut slope inventory in PostgreSQL table anthropogenic_cuts.
22,detoursLayer,/api/routing/evacuation-plan,PostGIS 3.6 pgRouting Graph & IRC SP:84 Mountain Code,DERIVED,PARTIAL,NO,NO,YES,YES,DERIVED: Computed dynamically on request via Dijkstra/A* routing algorithm penalized by CRI risk scores.
23,habitationsLayer,/api/humanitarian/isolation-matrix,Census of India & Sikkim State Disaster Management Authority,HISTORICAL,ZERO,YES,YES,YES,YES,HISTORICAL: Census of India 2011 settlement coordinates and population counts.
24,reportsLayerGroup,/api/reports/clustered,Citizen Crowdsource & BRO Patrol Geo-Tagged Inspections,LIVE_EXTERNAL,HIGH,YES,YES,YES,YES,LIVE_EXTERNAL: Real citizen field submissions clustered via DBSCAN in backend/cv_crack_classifier.py.
25,insarLayer,/api/insar/points & /api/pahad/insar-deformation,Copernicus Sentinel-1 / NISAR L-band SAR,HISTORICAL,ZERO,YES,YES,YES,YES,HISTORICAL: Pre-processed ESA Copernicus Sentinel-1 radar displacement point vectors.
26,scarsLayer,/api/satellite/detected-scars & /api/geospatial/historical-landslides,Geological Survey of India (GSI) National Landslide Susceptibility Mapping,HISTORICAL,ZERO,YES,YES,YES,YES,HISTORICAL: Archival GSI landslide inventory polygons from data/manifests/canonical_event_inventory.json.
27,nerBoundsLayer,/static/data/ner_state_boundaries.geojson,Survey of India National Geospatial Vector Database,STATIC_PREDEFINED,ZERO,NO,NO,YES,YES,STATIC_PREDEFINED: Static GeoJSON file served by web server.
28,sectorMarkers,/api/pahad/critical-sectors & /api/ml/latest-risk,PARVAT NETRA Priority Mountain Corridor Registry,DERIVED,PARTIAL,NO,YES,YES,YES,DERIVED: Static sector WGS84 positions styled dynamically with live CRI risk colors.
29,hp-edge-nodes,/api/edge/nodes & /api/edge/status,Sub-GHz LoRa Mesh Hardware Rig (ESP32 / SX1262 Nodes),SIMULATED,ZERO,NO,NO,YES,YES,SIMULATED: Bench test simulation of LoRa mesh gateways and telemetry repeaters.
30,hp-edge-siren,/api/edge/siren/status & /api/edge/status,Civil Defense Acoustic Siren Controller (GW-01 Likhu Veer),SIMULATED,ZERO,NO,NO,NO,YES,SIMULATED: Software relay emulator in safety dry-run.
31,regional-hazard-sparkline,/api/pahad/realtime-cri & /api/pahad/regional-overview,PAHAD Real-Time Multi-Corridor Ingestion & Evaluation Service,CACHED_LIVE,PARTIAL,YES,YES,YES,YES,CACHED_LIVE: Snapshot dataset generated every 15 minutes from Open-Meteo live weather and stored in data/realtime/realtime_cri_dataset.csv.
32,highest-risk-sector-banner,/api/pahad/highest-risk-corridor,PAHAD Regional Risk Ranking Algorithm,DERIVED,PARTIAL,NO,YES,NO,YES,DERIVED: Realtime sort across latest regional CRI evaluations.
33,seismic-feed-drawer,/api/seismic/latest & /api/seismic/recent,USGS Earthquake Hazards Program & NCS (National Center for Seismology),LIVE_EXTERNAL,HIGH,YES,YES,YES,YES,LIVE_EXTERNAL: Live HTTP polling of USGS GeoJSON API https://earthquake.usgs.gov/fdsnws/event/1/query (cached locally with 15-min TTL).
34,sitrep-modal-content,/api/ai/sitrep,OmniRoute Local AI Gateway (LLM) / Deterministic Geotechnical Fallback,DERIVED,PARTIAL,NO,NO,NO,YES,DERIVED: Natural language sitrep generated by local LLM (or deterministic geotechnical fallback) summarizing live platform telemetry.
35,pahad-assistant-chat,/api/pahad/assistant/chat,PAHAD Voice Assistant Service (DMA 2005 Safety Guarded),DERIVED,PARTIAL,NO,NO,YES,YES,DERIVED: Grounded conversational assistant answering queries from live system state.
36,modal-cap-preview,/api/alerts/broadcast-trigger,NDMA Sachet Common Alerting Protocol (CAP v1.2 XML with ne-IN Gap-Fill),SIMULATED,ZERO,NO,NO,NO,YES,SIMULATED: Generated on demand in dry-run mode without external broadcast transmission.
37,form-citizen-report,/api/reports/submit,Citizen Mobile / Web Form + Automated Computer Vision Classifier,LIVE_EXTERNAL,HIGH,YES,YES,YES,YES,LIVE_EXTERNAL: Real HTTP multipart form POST storing field images and GPS coordinates.
38,modal-data-truth-matrix,/ (Embedded static structure in templates/index.html),PARVAT NETRA Data Truth & Provenance Protocol,STATIC_PREDEFINED,ZERO,NO,NO,NO,YES,STATIC_PREDEFINED: Static HTML table documentation embedded in page.
39,modal-scientific-expl,/ (Embedded modal in templates/index.html),Geotechnical Physics & Extreme Value Engineering Equations,STATIC_PREDEFINED,ZERO,NO,NO,NO,YES,STATIC_PREDEFINED: Static mathematical reference documentation embedded in page.
40,pahad-pipeline-ribbon,/ (Embedded layout in templates/index.html),8-Stage Decision Chain Architecture,STATIC_PREDEFINED,ZERO,NO,NO,NO,YES,STATIC_PREDEFINED: Static visual architecture ribbon.
41,card-why-parvat-netra,/ (Embedded card in templates/index.html),National Top-1 Differentiator Architecture Specification,STATIC_PREDEFINED,ZERO,NO,NO,NO,YES,STATIC_PREDEFINED: Static card highlighting system capabilities.
42,card-current-limitations,/ (Embedded card in templates/index.html),Engineering Scope & Limitations Disclosure,STATIC_PREDEFINED,ZERO,NO,NO,NO,YES,STATIC_PREDEFINED: Static disclosure card for evaluator transparency.
43,notification-center-drawer,/api/notifications/status & /api/alerts/active,PARVAT NETRA Unified Multi-Channel Notification Broker,DERIVED,ZERO,NO,NO,NO,YES,DERIVED: In-memory and SQLite audit ledger tracking dispatched warning messages.
44,fleet-machinery-panel,/api/fleet/bro-machinery,"Border Roads Organisation Heavy Equipment Ledger (CAT 320D, Loaders)",SIMULATED,ZERO,NO,NO,YES,YES,SIMULATED: Calibrated operational readiness schedule of BRO heavy plant.
45,weather-radar-overlay,/api/ingest/imd-rainfall & /api/geospatial/satellite/status,IMD Doppler Weather Radar (DWR) X-band Reflectivity,AUTH_REQUIRED,ZERO,NO,NO,YES,YES,"AUTH_REQUIRED: Connector built, but awaiting official IMD ministerial API token."
46,optical-satellite-preview,/api/geospatial/satellite/footprints,ISRO NRSC Bhoonidhi Optical Satellite Catalog (Resourcesat / Cartosat),HISTORICAL,ZERO,NO,NO,YES,YES,HISTORICAL: Archival satellite footprint polygons and metadata.
47,vegetation-loss-index,/api/geospatial/vegetation,Sentinel-2 Multi-Spectral Instrument (MSI) NDVI Delta,HISTORICAL,ZERO,YES,YES,YES,YES,HISTORICAL: Bi-weekly ESA Copernicus Sentinel-2 MSI cloud-filtered NDVI differencing rasters.
